t90	t90_error
123.394	 6.476
123.902	11.449
123.906	 0.362
125.182	 1.846
125.439	 0.724
125.442	 4.238
125.699	 1.145
126.210	 1.493
126.722	 2.360
127.746	 0.923
127.746	 3.238
128.259	15.792
128.512	 5.838
130.050	 3.566
130.050	 1.280
130.691	 0.516
131.586	21.723
131.840	 1.056
132.098	 3.665
132.098	 2.290
132.994	 1.236
133.890	 0.572
134.144	 7.455
134.914	 1.639
136.707	 1.379
136.960	14.954
136.962	 0.923
137.730	 0.572
138.242	13.469
138.242	 3.238
139.010	 6.446
139.266	 1.493
139.779	 0.923
140.803	 1.056
141.059	 4.048
141.314	 1.280
141.568	 3.665
142.851	 2.360
143.107	 2.573
143.746	13.029
144.130	26.959
144.386	 2.862
144.643	 1.619
144.896	 3.367
146.434	 4.419
146.434	 4.971
146.690	 4.419
147.459	 1.145
147.970	 2.360
148.226	 1.925
148.226	 3.125
149.507	10.691
150.530	 1.619
150.787	 2.360
151.808	 6.446
152.003	 1.639
152.576	 1.619
152.579	 6.297
153.347	 2.573
153.859	 2.064
153.859	 0.810
153.859	 0.810
156.416	 7.940
156.672	21.722
157.699	 2.862
158.212	 7.209
158.720	 2.290
158.978	 2.862
160.771	 5.221
161.027	 7.836
163.331	 4.529
163.843	11.406
165.123	 9.148
165.378	 2.896
165.632	 2.360
165.888	 5.910
166.146	 0.810
166.915	 3.692
167.427	 3.367
168.003	 2.172
168.253	53.762
169.216	 6.987
169.472	 2.560
169.987	 3.557
171.523	 2.673
172.291	12.447
172.547	 1.846
172.803	 1.493
174.595	 4.707
175.363	 1.086
175.620	 3.083
177.920	 4.471
178.691	 1.145
180.483	 6.964
181.507	21.682
182.275	19.777
183.555	24.407
184.067	 7.786
184.323	 3.806
185.860	 1.086
186.883	 2.986
187.137	 2.996
190.979	 6.759
191.491	 2.862
192.771	 1.950
195.332	 1.493
195.587	16.795
199.172	 5.221
200.196	 0.362
200.196	 3.338
204.548	 3.482
205.315	 1.810
205.828	 1.864
206.852	 2.290
210.178	 5.976
212.741	 0.724
212.995	 3.916
213.252	10.746
215.555	 1.810
216.835	 4.290
218.629	 0.572
220.163	 1.379
224.260	 0.724
224.516	 5.615
226.048	 1.056
228.352	 3.482
229.124	 1.557
232.708	 1.145
235.523	 8.256
236.036	10.746
236.292	 0.810
242.436	 4.404
243.717	 2.573
245.508	17.169
251.136	 6.734
253.956	 2.049
254.913	 4.222
256.260	 5.221
265.477	 3.338
271.364	 4.580
281.349	 3.840
282.372	 3.167
285.701	 1.999
288.005	 0.724
290.565	 3.999
293.637	 2.360
299.525	 2.862
301.061	 4.404
302.789	 0.923
307.974	 1.864
313.093	 2.673
316.933	 5.146
331.782	 4.048
333.064	 3.482
335.876	11.585
340.992	 1.619
341.254	 2.288
356.357	 4.345
361.472	 9.882
369.670	 0.810
375.814	 8.444
377.862	 8.083
379.397	 2.202
408.582	 2.290
424.967	13.44
449.415	 1.409
450.569	 2.360
453.385	 0.572
473.097	 1.717
478.026	 3.168
479.239	23.752
508.168	 2.673
521.862	 4.291
624.459	 3.367
828.672	11.363
984.084	64.668
