t90	t90_error
2.816	 2.673
2.816	 0.810
2.816	 0.923
2.816	 0.628
2.875	 0.767
2.880	 0.320
2.880	 0.547
2.944	 2.199
2.944	 1.280
2.944	 0.345
2.944	 0.979
2.944	 0.091
3.008	 3.329
3.008	 0.231
3.008	 2.159
3.072	 0.362
3.072	 1.318
3.072	 1.056
3.072	 0.923
3.072	 2.429
3.072	 2.360
3.072	 2.064
3.072	 0.500
3.072	 0.923
3.072	 3.114
3.072	 0.362
3.136	 2.099
3.136	 0.716
3.136	 2.294
3.136	 0.916
3.136	 2.691
3.200	 0.951
3.200	 1.797
3.200	 0.091
3.264	 1.619
3.328	 2.862
3.328	 1.619
3.328	 1.493
3.328	 1.086
3.328	 1.305
3.328	 0.640
3.328	 0.810
3.328	 1.600
3.328	 2.064
3.328	 2.560
3.328	 1.846
3.328	 2.202
3.328	 0.779
3.328	 2.064
3.328	 0.362
3.328	 2.919
3.328	 1.382
3.389	 0.602
3.392	 0.264
3.456	 0.345
3.456	 1.032
3.456	 0.345
3.456	 0.389
3.456	 0.724
3.520	 1.548
3.520	 1.134
3.520	 0.181
3.520	 0.453
3.584	 1.864
3.584	 1.379
3.584	 4.104
3.584	 0.516
3.584	 0.779
3.584	 2.573
3.584	 1.493
3.584	 3.221
3.584	 0.960
3.584	 0.320
3.584	 2.360
3.584	 0.345
3.648	 0.091
3.712	 0.580
3.773	 0.270
3.776	 1.118
3.776	 0.923
3.840	 0.590
3.840	 2.290
3.840	 0.572
3.840	 1.493
3.840	 0.362
3.840	 0.923
3.840	 1.900
3.840	 0.286
3.904	 0.842
3.904	 1.120
3.904	 2.099
3.968	 1.506
4.096	 0.572
4.096	 0.724
4.096	 1.619
4.096	 2.573
4.096	 2.319
4.096	 1.717
4.096	 1.864
4.096	 3.125
4.096	 1.305
4.096	 0.545
4.096	 0.091
4.096	 1.056
4.125	 1.063
4.160	 0.653
4.160	 0.692
4.160	 0.466
4.224	 0.516
4.288	 3.206
4.288	 1.935
4.288	 1.833
4.352	 0.572
4.352	 0.923
4.352	 0.724
4.352	 0.362
4.352	 3.665
4.352	 0.923
